Title,Year,Release Date,Overview,Keywords
Dead Ringers,1988,1988-09-23,"Elliot, a successful gynecologist, works at the same practice as his identical twin, Beverly. Elliot is attracted to many of his patients and has affairs with them. When he inevitably loses interest, he will give the woman over to Beverly, the meeker of the two, without the woman knowing the difference. Beverly falls hard for one of the patients, Claire, but when she inadvertently deceives him, he slips into a state of madness.","bondage, based on novel or book, nurse, sadism, obsession, toronto, canada, sadomasochism, twin brother, murder, prostitution, drugs, twins, receptionist, extramarital affair, medical profession, gynecologist, voyeurism, identical twin"
The Thing,1982,1982-06-25,"In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror... and becomes one of them.","spacecraft, space marine, based on novel or book, isolation, mutation, paranoia, snowstorm, research station, alien life-form, alien, remake, creature, helicopter pilot, antarctica, shape shifting alien, alien infection, sled dogs, alien monster, alien parasites, isolated place, uncertainty, body horror, ambiguity, horrified"
The Birds,1963,1963-03-28,Thousands of birds flock into a seaside town and terrorize the residents in a series of deadly attacks.,"pet shop, seclusion, playground, fireplace, seagull, bird attack, socialite, based on short story, practical joke, schoolteacher, lovebird, shopkeeper, unsolved mystery, schoolhouse"
Invasion of the Body Snatchers,1956,1956-02-05,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,"small town, based on novel or book, alien, black and white, doctor, patient, alien invasion, psychiatrist, alien infection, angry mob, doppelgänger, mystery writer, emotionless, paranoid, abandoned mine, personality change, alien plant-life"
Evil Dead II,1987,1987-03-13,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.","blood splatter, deer, tape recorder, chainsaw, spirit, over the top, book of the dead, evil dead, eyeball, necronomicon, tarmac, meat cleaver, psychotronic, shocking, excited"
The Invisible Man,1933,1933-11-03,"Working in Dr. Cranley's laboratory, scientist Jack Griffin was always given the latitude to conduct some of his own experiments. His sudden departure, however, has Cranley's daughter Flora worried about him. Griffin has taken a room at the nearby Lion's Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. But the experimental drug has also warped his mind, making him aggressive and dangerous. He's prepared to do whatever it takes to restore his appearance.","based on novel or book, insanity, chemical, train accident, mad scientist, murder, fugitive, snow, black and white, chemist, scientist, invisible, pre-code, invisible person, invisibility, manhunt, experiment gone awry, invisible man"
In the Mouth of Madness,1994,1995-02-03,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,"small town, insanity, paranoia, diner, new hampshire, disappearance, author, church, gothic, crucifix, new england, insurance investigator, ghost town, publisher, horror novel, lovecraftian"
Nosferatu,1922,1922-02-16,"In this highly influential silent horror film, the mysterious Count Orlok (Max Schreck) summons Thomas Hutter (Gustav von Wangenheim) to his remote Transylvanian castle in the mountains. The eerie Orlok seeks to buy a house near Hutter and his wife, Ellen (Greta Schroeder). After Orlok reveals his vampire nature, Hutter struggles to escape the castle, knowing that Ellen is in grave danger. Meanwhile Orlok's servant, Knock (Alexander Granach), prepares for his master to arrive at his new home.","self sacrifice, transylvania, germany, loss of loved one, vampire, shapeshifting, coffin, supernatural, castle, ghost ship, black and white, silent film, seashore, vampire bat, real estate agent, ghoul, psychotronic, locket, sailing ship, corpse in coffin, nosferatu, real estate, black death, expressionism, mountain country, sleepwalking, romania, rat, german expressionism, dracula"
Frankenstein,1931,1931-11-21,"Tampering with life and death, Henry Frankenstein pieces together salvaged body parts to bring a human monster to life; the mad scientist's dreams are shattered by his creation's violent rage as the monster awakens to a world in which he is unwelcome.","fire, monster, experiment, based on novel or book, reanimation, laboratory, mad doctor, black and white, pre-code, body part, angry mob, woman in peril, villager, human monster, frankenstein"
Day of the Dead,1985,1985-07-03,A small group of scientists and soldiers take refuge in an underground missile silo where they struggle to control the flesh-eating dead that walks the Earth above.,"florida, insanity, bunker, remake, disembodied head, zombie, living dead, zombie apocalypse, mankind forced underground, florida everglades"
Kwaidan,1964,1965-01-06,"Taking its title from an archaic Japanese word meaning ""ghost story,"" this anthology adapts four folk tales. A penniless samurai marries for money with tragic results. A man stranded in a blizzard is saved by Yuki the Snow Maiden, but his rescue comes at a cost. Blind musician Hoichi is forced to perform for an audience of ghosts. An author relates the story of a samurai who sees another warrior's reflection in his teacup.","samurai, based on novel or book, story teller, snowstorm, tea, promise, snow, blind, spirit, vengeful ghost, ghost story, ghost, sea battle, japanese folklore, naval battle, horror anthology, ghost in the woods"
The Skin I Live In,2011,2011-08-17,A brilliant plastic surgeon creates a synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.,"mask, based on novel or book, madrid, spain, isolation, obsession, face transplant, plastic surgery, half-brother, sex change, revenge, dress, plastic surgeon, skin, nonlinear timeline, locked up, captivity"
Godzilla,1954,1954-11-03,"Japan is thrown into a panic after several ships are sunk near Odo Island. An expedition to the island led by Dr. Yemani soon discover something far more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.","ship, island, japan, atomic bomb, shipwreck, giant monster, nuclear radiation, tokyo, japan, dinosaur, black and white, creature feature, kaiju, post war japan, animal horror, godzilla"
Night of the Living Dead,1968,1968-10-04,"A group of strangers trapped in a farmhouse find themselves fending off a horde of recently dead, flesh-eating ghouls.","sibling relationship, pennsylvania, usa, loss of loved one, gun, gas station, cemetery, cellar, house, barricade, zombie, black and white, trapped, bitten, farm house"
Scream,1996,1996-12-20,"After a series of mysterious deaths befalls their small town, an offbeat group of friends led by Sidney Prescott become the target of a masked killer.","high school, small town, riddle, killing, halloween, house party, serial killer, school, slasher, whodunit, killing spree, phone, tabloid, news reporter, self-referential, crime spree, halloween costume, young adult, teenager"
Deep Red,1975,1975-03-07,"One night, musician Marcus Daly, looking up from the street below, witnesses the brutal axe murder of a woman in her apartment. Racing to the scene, he just manages to miss the perpetrator... or so he thinks.","murder, reporter, whodunit, psychic, pianist, proto-slasher"
The Haunting,1963,1963-08-21,"Dr. Markway, doing research to prove the existence of ghosts, investigates Hill House, a large, eerie mansion with a lurid history of violent death and insanity.","alcohol, haunted house, disappearance, black and white, orphan, super power"
Possession,1981,1981-05-27,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.","adultery, berlin, germany, monster, police, marriage crisis, germany, berlin wall, obsession, investigation, gore, hysteria, teacher, murder, domestic abuse, serial killer, domestic violence, motorcycle, miscarriage, separation, extramarital affair, mental illness, private detective, spiral staircase, doppelgänger, dual role, marital separation, video nasty, breakdown, downward spiral, impending divorce"
The Tenant,1976,1976-05-26,A quiet and inconspicuous man rents an apartment in France where he finds himself drawn into a rabbit hole of dangerous paranoia.,"suicide, paris, france, identity, psychopath, paranoia, hallucination, identity crisis, lodger, neighbor, tenant, descent into madness, cross dressing, psychological thriller, apartment building, noisy neighbor, handjob, death of neighbor, next door neighbor, tooth extraction, jumping from height, creepy neighbor, jumping from a window, psychological disintegration, paranoid thriller, rented rooms, personality change, psychological horror"
The Exorcist,1973,1973-12-26,"When a charming 12-year-old girl takes on the characteristics and voices of others, doctors say there is nothing they can do. As people begin to die, the girl's mother realizes her daughter has been possessed by the devil--and that her daughter's only possible hope lies with two priests and the ancient rite of demonic exorcism.","religion and supernatural, exorcism, holy water, paranormal phenomena, possession, vomit, satan, priest, ouija board, demon, strong language, catholic church, demonic possession, disturbed child, crisis of faith, sfx, religious horror, supernatural horror"
Carnival of Souls,1962,1962-11-02,"Mary Henry ends up the sole survivor of a fatal car accident through mysterious circumstances. Trying to put the incident behind her, she moves to Utah and takes a job as a church organist. But her fresh start is interrupted by visions of a fiendish man. As the visions begin to occur more frequently, Mary finds herself drawn to the deserted carnival on the outskirts of town. The strangely alluring carnival may hold the secret to her tragic past.","organ, car crash, b movie, female protagonist, psychotronic, organ music, preserved film"
The Return of the Living Dead,1985,1985-04-25,"When foreman Frank shows new employee Freddy a secret military experiment in a supply warehouse in Louisville, Kentucky, the two klutzes accidentally release a gas that reanimates corpses into flesh-eating zombies. As the epidemic spreads throughout the town, and the creatures satisfy their hunger in gory and outlandish ways, Frank and Freddy fight to survive with the help of their boss and a mysterious mortician.","cemetery, crematorium, punk rock, undead, zombie, paramedic, attic, warehouse, night of the living dead, walking dead, horror comedy, louisville, louisville, ky"
The Vanishing,1988,1988-10-27,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.","france, loss of loved one, kidnapping, roadhouse, vacation, disappearance, missing person"
Train to Busan,2016,2016-07-20,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.","zombie, train, survival horror, busan, south korea, south korea"
American Psycho,2000,2000-04-13,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.","new york city, based on novel or book, businessman, psychopath, grave, dark comedy, satire, wall street, serial killer, chainsaw, big city, psychological thriller, macabre, character study, white collar, harvard business school, voice imitation, shocking, aggressive, insecure, 1980s, american businessman, bloody, ambiguity, horror, callous"
Under the Skin,2013,2014-03-14,A seductive stranger prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.,"based on novel or book, scotland, edinburgh, scotland, alien, prowler, body snatchers"
It Follows,2014,2015-02-04,"When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her defend herself.","beach, chase, supernatural, friends, vision, teenage girl, school, detroit, michigan, evil, voyeurism, sexually transmitted disease, young adult, followed, ambiguity, suspenseful"
Bram Stoker's Dracula,1992,1992-11-13,"In the 19th century, Dracula travels to London and meets Mina, a young woman who appears as the reincarnation of his lost love.","adultery, london, england, transylvania, vampire, bite, camping, maze, remake, rough sex, wake, religious conflict, correspondence, 19th century, 15th century"
Hellraiser,1987,1987-09-11,"Hedonist Frank Cotton finds a mysterious puzzle box that summons the Cenobites, who open the doors to a dominion where pain and pleasure are indivisible.","based on novel or book, ritual, supernatural, seduction, gore, surrealism, undead, stepmother, revenge, human sacrifice, demon, puzzle box, attic, occult, cenobite"
Lake Mungo,2008,2009-07-30,"After 16-year-old Alice Palmer drowns in a local dam, her family experiences a series of strange, inexplicable events centered in and around their home. Unsettled, the Palmers seek the help of psychic and parapsychologist, who discovers that Alice led a secret, double life. At Lake Mungo, Alice's secret past emerges.","australia, drowning, supernatural, paranormal phenomena, hypnosis, mockumentary, death, ghost, found footage, séance, angry, creepy, somber, docufiction, search and rescue, spirit photography, amused, strange events"
Saint Maud,2019,2020-10-09,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye.","nurse, self-destruction, obsession, terminal illness, loneliness, chain smoking"
Inside,2007,2004-09-03,"The Sea Inside is about Spaniard Ramón Sampedro, who fought a 30-year campaign to win the right to end his life with dignity. It is the story of Ramón’s relationships with two women: Julia a lawyer who supports his cause, and Rosa, a local woman who wants to convince him that life is worth living.","dying and death, sibling relationship, intensive care, paraplegic, freedom, ladykiller, wheelchair, biography, galicia, spain, bathing accident, romance, foreign language, lawyer, sailor, euthanasia, dignity, goya award for best film"
The Devil Rides Out,1968,1968-07-20,"The powers of good are pitted against the forces of evil as the Duc de Richelieu wrestles with the charming but deadly Satanist, Mocata, for the soul of his friend. Mocata has the knowledge and the power to summon the forces of darkness and, as the Duc de Richelieu and his friends remain within the protected pentacle, they are subjected to ever-increasing horror until thundering hooves herald the arrival of the Angel of Death.","based on novel or book, supernatural, satanism, giant spider, black magic, satanist, devil, occult, ritual sacrifice, occult horror, devil worship, 1920s, folk horror"
House of Wax,1953,1953-04-16,"A New York sculptor who opens a wax museum to showcase the likenesses of famous historical figures runs into trouble with his business partner, who demands that the exhibits become more extreme in order to increase profits.","mask, new york city, wheelchair, morgue, guillotine, remake, laboratory, wax museum, disfigured face, psychotronic, sculptor, wax, proto-slasher, 1900s, waxwork"
Prince of Darkness,1987,1987-10-23,"A group of graduate students and scientists uncover an ancient canister in an abandoned church, but when they open it, they inadvertently unleash a strange liquid and an evil force on all of humanity.","research, dream, obsession, secret society, time travel, satan, anti-christ, artifact, priest, los angeles, california, church, demon, satanic cult"
A Quiet Place,2018,2018-04-03,A family is forced to live in silence while hiding from creatures that hunt by sound.,"pregnancy, fireworks, deaf, post-apocalyptic future, alien life-form, child in peril, creature, alien invasion, parenting, survival horror, human vs alien, sign languages, anxious"
The Changeling,1980,1980-03-28,"After a tragic event happens, composer John Russell moves to Seattle to try to overcome it and build a new and peaceful life in a lonely big house that has been uninhabited for many years. But, soon after, the obscure history of such an old mansion and his own past begin to haunt him.","composer, seattle, washington, medium, séance, isolated house, music professor, historical society, canuxploitation, traumatized man"
Zombieland,2009,2009-10-07,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.","washington dc, usa, sibling relationship, circus, post-apocalyptic future, blood splatter, gore, parody, road trip, zombie, survival horror, amusement park, twinkie, body count, zombification, disposing of a dead body, loner, aftercreditsstinger, zombie apocalypse, fear of clowns, actor playing themself, defiant, harsh, sarcastic"
Frailty,2001,2002-04-12,"A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to kill people who were in fact ""demons.""","rose garden, sheriff, dream, angel, loss of loved one, insanity, 1970s, fbi, texas, grave, flashback, punishment, murder, vision, mechanic, serial killer, demon, religious fundamentalism, gloves, remorse, forced to kill, ax"
Phantasm,1979,1979-03-28,"A teenage boy and his friends face off against a mysterious grave robber, known only as the Tall Man, who employs a lethal arsenal of unearthly weapons.","funeral, coffin, undertaker, evil, hearse, ice cream man  , mausoleum, tall man, sentinals, sphere"
Village of the Damned,1960,1960-06-16,"In a small English village everyone suddenly falls unconscious. When they awake every woman of child bearing age is pregnant. The resulting children have the same strange blond hair, eyes and a strong connection to each other.","suicide, based on novel or book, england, parent child relationship, pregnancy, village, youngster, parish, car crash, mind reading, black and white, explosion, military, evil child, forced suicide"
The Curse of Frankenstein,1957,1957-05-20,Baron Victor Frankenstein has discovered life's secret and unleashed a blood-curdling chain of events resulting from his creation: a cursed creature with a horrid face — and a tendency to kill.,"experiment, morgue, guillotine, mad scientist, remake, revenge, murder, decapitation, reanimation, severed head, creature, gothic horror, severed hand, told in flashback, reanimated corpse, brain transplant, frankenstein, 1860s"
ParaNorman,2012,2012-08-03,"In the town of Blithe Hollow, Norman Babcock can speak to the dead, but no one other than his eccentric new friend believes his ability is real. One day, Norman's eccentric uncle tells him of a ritual he must perform to protect the town from a curse cast by a witch centuries ago.","medium, jock, stop motion, curse, ghost, communicating with the dead, aftercreditsstinger, witch trial, child witch, empathy, strange, giac quan"
Martyrs,2008,2008-06-12,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity.","child abuse, suffering, nihilism, degradation, ecstasy, woman martyr, cult, hysteria, helplessness, revenge, torture chamber, mercilessness, torture, cruelty, home invasion, transcendence, decadence, martyr, angst, captivity, abuse, mistreatment, dehumanization, emaciation, new french extremism, incarceration, chloroform, mysticism, abused woman, depravation, blood on body, murderess, lesbian, devastating, mental abuse"
The Bird with the Crystal Plumage,1970,1970-02-27,"An American writer living in Rome witnesses an attempted murder that is connected to an ongoing killing spree in the city, and conducts his own investigation despite himself and his girlfriend being targeted by the killer.","based on novel or book, psychopath, painting, murder, whodunit, maniac, knifing, killer, art gallery, voyeurism, stutterer, black gloves, giallo"
From Beyond,1986,1986-10-24,"The Resonator, a powerful machine that can control the sixth sense, has killed its creator and sent his associate into an insane asylum. When a beautiful psychiatrist becomes determined to continue the experiment, she unwittingly opens the door to a hostile parallel universe.","experiment, transformation, parallel world"
The Mist,2007,2007-11-21,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.","monster, based on novel or book, supermarket, fight, faith, prayer, artist, spider, fog, bible, giant monster, survival, disaster, anger, thunderstorm, father son relationship"
Cat People,1942,1942-12-05,"A Serbian émigré in Manhattan believes that, because of an ancient curse, any physical intimacy with the man she loves will turn her into a feline predator.","jealousy, love triangle, cat, zoo, transformation, canary, swimming pool, film noir, curse, black and white, val lewton, folklore, fear of intimacy, unconsummated marriage, turned into animal"
Viy,1967,1967-11-27,A young priest is ordered to preside over the wake of a witch in the church of a remote village. This means spending three nights alone with the corpse with only his faith to protect him.,"witch, folk horror"
The Stepford Wives,1975,1975-02-12,"Joanna Eberhart has come to the quaint little town of Stepford, Connecticut with her family, but soon discovers there lies a sinister truth in the all too perfect behavior of the female residents.","android, small town, based on novel or book, feminism, housewife, connecticut, robot, suburb, women's liberation"
Swallow,2019,2020-01-15,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.","housewife, abortion"
The Wolf of Snow Hollow,2020,2020-10-23,A stressed-out police officer struggles not to give in to the paranoia that grips his small mountain town as bodies turn up after each full moon.,"small town, utah, investigation, dark comedy, full moon, murder, serial killer, crime scene"
Zombie Flesh Eaters,1979,1979-08-25,"On the Caribbean island of Matul, white doctor David Menard is trying to stem the tide of cannibal zombies that are returning from the dead.  Arriving on the island are Anne and reporter Peter West who are looking for Anne's missing father.  The pair soon find themselves under attack from the zombies.","new york city, boat, voodoo, zombie, shark, tropical island, video nasty, caribbean"
Gremlins,1984,1984-06-08,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, unleashing a horde of mischievous gremlins on a small town.","small town, monster, holiday, department store, pet, human animal relationship, bars and restaurants, sunlight, chain saw, salesperson, midnight, fur, gremlin, banking, ymca, puppet, puppetry, christmas, pets"
The Hunger,1983,1983-04-29,"Miriam Blaylock, an ageless vampire, collects Renaissance art, ancient Egyptian pendants, lovers, and souls in Manhattan.","new york city, based on novel or book, immortality, gay interest, premature aging, research laboratory, animal research"
Us,2019,2019-03-14,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.","mask, boardwalk, murder, psychological thriller, fear, family vacation, home invasion, amusement park, doppelgänger, santa cruz, california, 1980s, duality"
Saw,2004,2004-10-01,"Two men wake up to find themselves shackled in a grimy, abandoned bathroom. As they struggle to comprehend their predicament, they discover a disturbing tape left behind by the sadistic mastermind known as Jigsaw. With a chilling voice and cryptic instructions, Jigsaw informs them that they must partake in a gruesome game in order to secure their freedom.","sadism, shotgun, detective, flashback, hospital, doctor, torture, sadist, survival horror, chained, bludgeoning, death match, booby trap, mind game, extreme violence, death game, 恐佈, 血腥, 解謎, 逃脫"
The Fog,1980,1980-02-08,"Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die.","sea, small town, ship, gold, beach, prophecy, sword, narration, beheading, fog, leprosy, lighthouse, church"
Demons,1985,1985-10-04,"A group of people are trapped in a West Berlin movie theater infested with ravenous demons who proceed to kill and possess the humans one-by-one, thereby multiplying their numbers.",demon
A Tale of Two Sisters,2003,2003-06-13,"A recently released patient from a mental institution returns home with her sister, only to face disturbing events between her stepmother and the ghosts haunting their house – all of which are connected to a dark past in the family's history.","amnesia, drug abuse, loss of loved one, homicide, drug addiction, stepmother, menstruation, sister, tragedy, psychological thriller, vengeful ghost, unreliable narrator, existentialism, mysterious, cremation, narcolepsy, ambiguity, psychological horror, psychological drama"
Dr. Jekyll and Mr. Hyde,1931,1931-12-24,"Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two, man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug, it is already too late.","london, england, double life, based on novel or book, transformation, alter ego, jekyll and hyde, pre-code, marriage engagement, torment, abused woman"
Sleepy Hollow,1999,1999-11-19,"The curse of The Headless Horseman (Christopher Walken) is the legacy of the small town of Sleepy Hollow. Spearheaded by the eager Constable Ichabod Crane (Johnny Depp) and his new-world ways into the quagmire of secrets and murder, secrets once laid to rest, best forgotten, and now reawakened, and he too, holding a dark secret of a past once gone.","small town, steampunk, 19th century, headless horseman"
The Company of Wolves,1984,1984-09-21,"An adaptation of Angela Carter's fairy tales. Young Rosaleen dreams of a village in the dark woods, where Granny tells her cautionary tales in which innocent maidens are tempted by wolves who are hairy on the inside. As Rosaleen grows into womanhood, will the wolves come for her too?","dream, grandparent grandchild relationship, wolf, fairy tale, werewolf, grandmother, red riding hood, dark fairy tale, dark forest"
Creature from the Black Lagoon,1954,1954-03-05,"When scientists exploring the Amazon River stumble on a “missing link” connecting humans and fish, they plan to capture it for later study. But the Creature has plans of his own, and has set his sights on the lead scientist's beautiful fiancée, Kay.","ship, monster, chase, boat, paleontology, expedition, amazon rainforest, water monster, black and white, creature, scientist, sea monster, lagoon, fossil, spear gun"
The Masque of the Red Death,1964,1964-06-24,"A European prince terrorizes the local peasantry while using his castle as a refuge against the ""Red Death"" plague that stalks the land.","sacrifice, village, prince, castle, satanism, revenge, murder, tragic villain, massacre, middle ages (476-1453), evil prince, medieval, satanic ritual, plague, devil worship, preserved film"
From Dusk Till Dawn,1996,1996-01-19,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.","dancing, showdown, sheriff, sibling relationship, vampire, bank robber, holy water, siege, stripper, priest, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, mexican american border, female stripping, boa constrictor, loss of faith, foot fetish, killer on the run, barefoot"
Green Room,2015,2016-04-15,"A punk rock band becomes trapped in a secluded venue after finding a scene of violence. For what they saw, the band themselves become targets of violence from a gang of white power skinheads, who want to eliminate all evidence of the crime.","neo-nazism, skinhead, swastika, escape, killing, heroin, self-defense, machete, gore, punk rock, oregon, usa, cover-up, sociopath, survival, murder, tension, dead body, rock music, pitbull, hard to kill, thug, brutality, witness to murder, punk band, fire extinguisher, music tour, white supremacists, hardcore punk, mic stand, stabbed, brutal murder, graphic violence"
The Devil's Advocate,1997,1997-10-17,"Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned.","child abuse, southern usa, marriage crisis, obsession, bible, seduction, hallucination, devil's son, ambition, pact with the devil, crooked lawyer, satan, evil spirit, lust, courtroom, temptation, law firm, manhattan, new york city, seven deadly sins, ethics, legal thriller"
Dressed to Kill,1980,1980-07-25,"After witnessing a mysterious woman brutally slay a homemaker, prostitute Liz Blake finds herself trapped in a dangerous situation. While the police thinks she is the murderer, the real killer is intent on silencing her only witness.","friendship, taxi, prostitute, nightmare, transvestism, photography, subway, shower, manipulation, assault, seduction, one-night stand, alter ego, murder, stalking, psychiatrist, interrogation, desire, guilt, extramarital affair, straight razor, exhibitionism, elevator, dark secret, art museum, erotic thriller, white gloves, american giallo"
Inferno,1980,1980-02-07,A young man returns from Rome to his sister's satanic New York apartment house.,"witch, death, video nasty"
Poltergeist,1982,1982-06-04,"Upon realizing that something truly evil haunts his home, Steve Freeling calls in a team of parapsychologists to help before it's too late.","dying and death, parent child relationship, medium, poltergeist, ghostbuster, haunted house, paranormal phenomena, family relationships, suburbia, power of goodness, haunted"
It,2017,2017-09-06,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.","small town, based on novel or book, clown, bullying, abandoned house, coming of age, flashback, murder, balloon, maine, school, creature, fear, summer, killer, missing person, death of brother, well, child, demonic, town history, anxious, intense"
Daughters of Darkness,1971,1971-10-02,"Ostend, Belgium. In a decadent seaside hotel, Stefan and Valerie, a newlywed couple, meet the mysterious Countess Báthory and Ilona, her secretary.","husband wife relationship, vampire, sadomasochism, bruges, belgium, lesbian relationship, newlywed, human vampire relationship, vampiress (female vampire), ostend, belgium"
Annihilation,2018,2018-02-22,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","depression, florida, quarantine, coma, based on novel or book, mutation, self-destruction, professor, dna, expedition, transformation, alligator, hybrid, swamp, meteor, grief, physicist, cancer, memory loss, psychologist, scientist, paramedic, missing person, beast, geologist, biologist, unusual phenomena, compound, missing husband, fauna, mysterious life form, flora"
The Love Witch,2016,2016-11-11,"A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.","magic, poison, painting, grave, love, crying, death, witchcraft, stockings, white horse, love potion, woman director, searching for love, woman seduces a man"
La Llorona,2019,2019-07-25,"Accused of the genocide of Mayan people, retired general Enrique is trapped in his mansion by massive protests. Abandoned by his staff, the indignant old man and his family must face the devastating truth of his actions and the growing sense that a wrathful supernatural force is targeting them for his crimes.","war crimes, dictator, trial, genocide, guatemala, war criminal, indigenous peoples, guatemalan civil war"
Cronos,1992,1993-11-05,"Faced with his own mortality, an ingenious alchemist tried to perfect an invention that would provide him with the key to eternal life. It was called the Cronos device. When he died more than 400 years later, he took the secrets of this remarkable device to the grave with him. Now, an elderly antiques dealer has found the hellish machine hidden in a statue and learns about its incredible powers. The more he uses the device, the younger he becomes...but nothing comes without a price. Life after death is just the beginning as this nerve-shattering thriller unfolds and the fountain of youth turns bloody.","immortality, scarab, invention, tycoon, aging, industrialist, antique dealer"
The Craft,1996,1996-05-03,"A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.","witch, puberty, magic, suicide attempt, black magic, sorcery, female friendship, occult, hair loss, outsider, karma, newcomer, love spell"
The Others,2001,2001-08-02,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.","nightmare, suicide attempt, christianity, shotgun, servant, cemetery, world war ii, nanny, haunted house, bible, channel islands, mansion, soldier, gardener, photosensitivity, 1940s, spiritism, jersey island, goya award for best film"
I Walked with a Zombie,1943,1943-04-21,"A nurse in the Caribbean turns to voodoo in hopes of curing her patient, a mindless woman whose husband she's fallen in love with.","island, jealousy, love triangle, nurse, superstition, voodoo, calypso, plantation, half-brother, psychological abuse, sorrow, sibling rivalry, zombie, doctor, alcoholic, tower, val lewton, tropical island, voodoo ritual, science vs religion, guilty conscience, voodoo doll, gothic romance, brain dead, descendants of african slaves, plantation owner, cane field"
The Conjuring,2013,2013-07-18,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.","sibling relationship, 1970s, cellar, exorcism, haunted house, possession, satanism, rhode island, based on true story, paranormal investigation, crucifix, ghost, demonic, demonology, psychic vision, the conjuring universe"
